航班日期,航班号,航线金额,舱位容量,订座数,行距,机型,起飞时间,到达时间,月份,日,星期几,是否节假日,温度,大气压,风速,能见度
2023-01-01,KN5955,72340.0,185,174,1178,73V,15:35:00,17:30:00,1,1,6,True,9,773.4,3,10
2023-01-01,KN5956,91480.0,185,161,1178,73V,19:05:00,21:15:00,1,1,6,True,8,773.9,1,10
2023-01-02,KN5955,76184.0,185,168,1178,73V,15:35:00,17:30:00,1,2,0,True,8,773.9,3,8
2023-01-02,KN5956,135884.0,185,171,1178,73V,19:05:00,21:15:00,1,2,0,True,7,775.5,5,10
2023-01-03,KN5737,41675.0,185,141,1178,73V,07:15:00,09:20:00,1,3,1,False,5,775.5,3,10
2023-01-03,KN5738,100394.0,185,168,1178,73V,10:55:00,13:10:00,1,3,1,False,9,775.5,2,10
2023-01-03,KN5955,66975.0,185,173,1178,73V,15:35:00,17:30:00,1,3,1,False,10,773.4,2,10
2023-01-03,KN5956,92428.0,185,172,1178,73V,19:05:00,21:15:00,1,3,1,False,7,773.9,2,10
2023-01-04,KN5737,53920.0,185,149,1178,73V,09:15:00,11:20:00,1,4,2,False,8,774.7,1,10
2023-01-04,KN5738,83810.0,185,159,1178,73V,12:25:00,14:40:00,1,4,2,False,11,773.9,2,10
2023-01-04,KN5955,76127.0,185,168,1178,73V,15:35:00,17:30:00,1,4,2,False,12,771.9,3,10
2023-01-04,KN5956,98200.0,185,169,1178,73V,19:05:00,21:15:00,1,4,2,False,8,773.4,3,10
2023-01-04,KN5977,64350.0,185,157,1176,73V,20:15:00,22:35:00,1,4,2,False,8,773.4,3,10
2023-01-05,KN5737,55535.0,185,167,1178,73V,07:15:00,09:20:00,1,5,3,False,8,771.9,3,10
2023-01-05,KN5738,97170.0,185,166,1178,73V,10:55:00,13:10:00,1,5,3,False,11,773.4,2,10
2023-01-05,KN5955,58830.0,185,156,1178,73V,15:35:00,17:30:00,1,5,3,False,13,771.1,5,10
2023-01-05,KN5956,85230.0,185,150,1178,73V,19:05:00,21:15:00,1,5,3,False,11,771.1,3,10
2023-01-06,KN5737,43312.5,185,118,1178,73V,08:55:00,11:00:00,1,6,4,False,9,771.1,4,3.5
2023-01-06,KN5738,84185.0,185,143,1178,73V,12:35:00,14:50:00,1,6,4,False,14,768.9,5,7
2023-01-06,KN5955,67493.0,185,138,1178,73V,16:05:00,18:00:00,1,6,4,False,14,767.3,6,8
2023-01-06,KN5956,100590.0,185,149,1178,73V,19:05:00,21:15:00,1,6,4,False,11,768.1,2,8
2023-01-07,KN5737,56573.0,185,151,1178,73V,07:15:00,09:20:00,1,7,5,False,3,769.6,1,5
2023-01-07,KN5738,98720.0,185,170,1178,73V,10:55:00,13:10:00,1,7,5,False,12,769.6,2,5
2023-01-07,KN5955,58990.0,185,139,1178,73V,15:35:00,17:30:00,1,7,5,False,15,767.3,2,6
2023-01-07,KN5956,70138.0,185,131,1178,73V,19:05:00,21:15:00,1,7,5,False,10,768.9,3,6
2023-01-08,KN5737,46220.0,179,139,1178,73U,07:15:00,09:20:00,1,8,6,False,6,768.1,3,8
2023-01-08,KN5738,112399.0,179,174,1178,73U,10:55:00,13:10:00,1,8,6,False,15,768.9,4,8
2023-01-08,KN5955,86420.0,185,166,1178,73V,15:35:00,17:30:00,1,8,6,False,18,765.8,6,10
2023-01-08,KN5956,80764.0,185,145,1178,73V,19:05:00,21:15:00,1,8,6,False,12,766.6,2,10
2023-01-09,KN5737,50530.0,185,145,1178,73V,07:15:00,09:20:00,1,9,0,False,5,767.3,1,10
2023-01-09,KN5738,79170.0,185,137,1178,73V,10:55:00,13:10:00,1,9,0,False,16,768.1,5,10
2023-01-09,KN5955,76948.0,185,172,1178,73V,15:35:00,17:30:00,1,9,0,False,15,768.9,7,7
2023-01-09,KN5956,76332.0,185,160,1178,73V,19:05:00,21:15:00,1,9,0,False,11,771.1,7,6
2023-01-09,KN5977,89498.0,292,277,1176,33L,20:15:00,22:35:00,1,9,0,False,10,771.1,8,6
2023-01-10,KN5737,52370.0,185,157,1178,73V,07:15:00,09:20:00,1,10,1,False,7,771.9,3,10
2023-01-10,KN5738,109570.0,185,173,1178,73V,10:55:00,13:10:00,1,10,1,False,10,772.7,2,10
2023-01-10,KN5955,98315.0,185,170,1178,73V,15:35:00,17:30:00,1,10,1,False,13,769.6,3,10
2023-01-10,KN5956,96550.0,185,169,1178,73V,19:05:00,21:15:00,1,10,1,False,9,770.4,3,10
2023-01-11,KN5737,58975.0,185,163,1178,73V,07:15:00,09:20:00,1,11,2,False,5,768.9,0,10
2023-01-11,KN5738,112640.0,185,163,1178,73V,10:55:00,13:10:00,1,11,2,False,14,768.9,4,10
2023-01-11,KN5955,105290.0,185,176,1178,73V,15:35:00,17:30:00,1,11,2,False,16,765.8,5,10
2023-01-11,KN5956,76717.5,185,148,1178,73V,19:05:00,21:15:00,1,11,2,False,13,765.8,3,10
2023-01-12,KN5737,57162.0,185,154,1178,73V,07:15:00,09:20:00,1,12,3,False,13,763.5,3,7
2023-01-12,KN5738,108080.0,185,156,1178,73V,10:55:00,13:10:00,1,12,3,False,17,763.5,5,8
2023-01-12,KN5955,87873.0,185,162,1178,73V,15:35:00,17:30:00,1,12,3,False,20,759.7,6,10
2023-01-12,KN5956,95320.0,185,162,1178,73V,19:05:00,21:15:00,1,12,3,False,18,759.0,4,10
2023-01-12,KN5977,53938.0,185,151,1176,73V,20:15:00,22:30:00,1,12,3,False,17,759.0,4,10
2023-01-13,KN5737,60665.0,185,165,1178,73V,07:15:00,09:20:00,1,13,4,False,16,759.0,2,2.5
2023-01-13,KN5978,79456.0,185,140,1180,73V,08:50:00,11:15:00,1,13,4,False,16,759.7,2,3
2023-01-13,KN5738,93900.0,185,135,1178,73V,10:55:00,13:10:00,1,13,4,False,18,759.7,1,5
2023-01-13,KN5955,91000.0,185,129,1178,73V,17:05:00,19:00:00,1,13,4,False,18,757.7,1,10
2023-01-13,KN5956,103909.0,185,150,1178,73V,20:00:00,22:10:00,1,13,4,False,17,757.7,4,8
2023-01-13,KN5977,65610.0,185,156,1176,73V,20:55:00,23:15:00,1,13,4,False,17,757.7,4,8
2023-01-14,KN5978,106860.0,185,165,1180,73V,08:15:00,10:40:00,1,14,5,False,11,760.5,7,4
2023-01-14,KN5955,74205.0,185,151,1178,73V,15:35:00,17:30:00,1,14,5,False,7,762.8,12,8
2023-01-14,KN5956,92327.0,185,139,1178,73V,19:05:00,21:15:00,1,14,5,False,5,767.3,9,10
2023-01-14,KN5977,57880.0,185,169,1176,73V,20:15:00,22:30:00,1,14,5,False,4,767.3,9,10
2023-01-15,KN5737,53760.0,185,158,1178,73V,07:15:00,09:20:00,1,15,6,False,0,770.4,7,10
2023-01-15,KN5978,70150.0,185,121,1180,73V,08:15:00,10:40:00,1,15,6,False,0,771.1,9,10
2023-01-15,KN5738,119300.0,185,162,1178,73V,10:55:00,13:10:00,1,15,6,False,0,771.9,7,7
2023-01-15,KN5955,70484.0,185,153,1178,73V,15:35:00,17:30:00,1,15,6,False,0,770.4,7,8
2023-01-15,KN5956,94360.0,185,157,1178,73V,19:05:00,21:15:00,1,15,6,False,0,771.9,7,10
2023-01-15,KN5977,48600.0,185,156,1176,73V,20:15:00,22:35:00,1,15,6,False,0,772.7,6,10
2023-01-16,KN5737,55915.0,179,161,1178,73U,07:15:00,09:20:00,1,16,0,False,-2,773.4,5,10
2023-01-16,KN5978,90820.0,185,147,1180,73V,08:15:00,10:40:00,1,16,0,False,-1,773.9,5,10
2023-01-16,KN5738,96560.0,179,144,1178,73U,10:55:00,13:10:00,1,16,0,False,2,774.7,5,10
2023-01-16,KN5955,60395.0,179,149,1178,73U,15:35:00,17:30:00,1,16,0,False,4,771.9,4,10
2023-01-16,KN5956,88850.0,179,150,1178,73U,19:05:00,21:15:00,1,16,0,False,1,773.4,3,10
2023-01-16,KN5977,47770.0,185,152,1176,73V,20:15:00,22:35:00,1,16,0,False,1,773.4,4,10
2023-01-17,KN5978,81140.0,185,150,1180,73V,08:15:00,10:40:00,1,17,1,False,1,773.4,3,10
2023-01-17,KN5955,73860.0,179,156,1178,73U,15:35:00,17:30:00,1,17,1,False,6,771.1,4,10
2023-01-17,KN5956,97369.0,179,158,1178,73U,19:05:00,21:15:00,1,17,1,False,5,772.7,3,10
2023-01-18,KN5737,60150.0,185,162,1178,73V,07:15:00,09:20:00,1,18,2,False,2,773.4,2,10
2023-01-18,KN5978,136550.0,292,252,1180,33L,08:15:00,10:40:00,1,18,2,False,3,773.4,2,10
2023-01-18,KN5738,125620.0,185,173,1178,73V,10:55:00,13:10:00,1,18,2,False,6,773.4,4,10
2023-01-18,KN5955,70000.0,179,161,1178,73U,15:35:00,17:30:00,1,18,2,False,8,771.1,6,10
2023-01-18,KN5956,100979.0,179,165,1178,73U,19:05:00,21:15:00,1,18,2,False,6,771.1,3,10
2023-01-18,KN5977,65840.0,185,170,1176,73V,20:15:00,22:35:00,1,18,2,False,5,771.9,2,10
2023-01-19,KN5978,98183.2,185,156,1180,73V,08:15:00,10:40:00,1,19,3,False,2,771.1,1,10
2023-01-19,KN5955,67928.0,185,144,1178,73V,15:35:00,17:30:00,1,19,3,False,10,768.9,4,10
2023-01-19,KN5956,90820.0,185,148,1178,73V,19:05:00,21:15:00,1,19,3,False,7,769.6,1,10
2023-01-19,KN5977,60870.0,185,167,1176,73V,20:15:00,22:30:00,1,19,3,False,6,769.6,1,10
2023-01-20,KN5737,52987.0,179,158,1178,73U,07:15:00,09:20:00,1,20,4,False,4,771.9,4,10
2023-01-20,KN5978,85148.0,185,152,1180,73V,08:15:00,10:40:00,1,20,4,False,5,772.7,5,10
2023-01-20,KN5738,100530.0,179,154,1178,73U,10:55:00,13:10:00,1,20,4,False,9,773.4,4,10
2023-01-20,KN5955,70008.0,185,175,1178,73V,15:35:00,17:30:00,1,20,4,False,9,772.7,5,10
2023-01-20,KN5956,85126.0,185,156,1178,73V,19:05:00,21:15:00,1,20,4,False,6,773.4,5,10
2023-01-20,KN5977,60728.0,185,169,1176,73V,20:15:00,22:35:00,1,20,4,False,5,773.9,4,10
2023-01-21,KN5978,79252.0,185,151,1180,73V,08:15:00,10:40:00,1,21,5,False,6,772.7,3,10
2023-01-21,KN5977,48352.0,185,160,1176,73V,20:15:00,22:30:00,1,21,5,False,8,768.1,6,10
2023-01-22,KN5978,92690.0,185,178,1180,73V,08:15:00,10:40:00,1,22,6,True,8,765.8,2,7
2023-01-22,KN5955,127248.0,292,269,1178,33L,15:35:00,17:30:00,1,22,6,True,8,764.3,5,8
2023-01-23,KN5955,90239.0,185,178,1178,73V,15:35:00,17:30:00,1,23,0,True,8,767.3,4,10
2023-01-23,KN5956,75896.0,185,165,1178,73V,19:05:00,21:15:00,1,23,0,True,6,769.6,8,10
2023-01-24,KN5955,83980.0,185,180,1178,73V,15:35:00,17:30:00,1,24,1,True,0,778.5,10,10
2023-01-24,KN5956,71670.0,185,157,1178,73V,19:05:00,21:15:00,1,24,1,True,-3,778.5,7,10
2023-01-25,KN5738,117916.0,292,270,1178,33L,10:55:00,13:10:00,1,25,2,True,-1,775.5,2,10
2023-01-25,KN5955,77078.0,185,158,1178,73V,15:35:00,17:30:00,1,25,2,True,3,771.1,3,10
2023-01-25,KN5956,59020.0,185,146,1178,73V,19:05:00,21:15:00,1,25,2,True,0,770.4,4,10
2023-01-26,KN5955,97040.0,143,130,1178,73S,15:35:00,17:30:00,1,26,3,True,9,765.8,3,10
2023-01-26,KN5956,73808.0,143,134,1178,73S,19:05:00,21:15:00,1,26,3,True,6,768.9,5,10
2023-01-26,KN5977,84100.0,185,166,1176,73V,20:15:00,22:30:00,1,26,3,True,4,769.6,6,10
2023-01-27,KN5737,89438.0,179,169,1178,73U,07:15:00,09:20:00,1,27,4,True,0,773.9,5,10
2023-01-27,KN5978,77558.0,185,150,1180,73V,08:15:00,10:40:00,1,27,4,True,1,773.9,7,10
2023-01-27,KN5738,104160.0,179,162,1178,73U,10:55:00,13:10:00,1,27,4,True,3,774.7,8,10
2023-01-27,KN5955,134698.0,179,167,1178,73U,15:35:00,17:30:00,1,27,4,True,4,773.4,9,10
2023-01-27,KN5956,84460.0,179,146,1178,73U,19:05:00,21:15:00,1,27,4,True,1,774.7,5,10
2023-01-27,KN5977,108457.0,185,179,1176,73V,20:30:00,22:50:00,1,27,4,True,1,773.9,5,10
2023-01-28,KN5978,82153.0,185,137,1180,73V,08:15:00,10:40:00,1,28,5,False,0,773.4,3,10
2023-01-28,KN5955,130216.0,185,174,1178,73V,15:35:00,17:30:00,1,28,5,False,6,771.1,5,10
2023-01-28,KN5956,67090.0,185,123,1178,73V,19:05:00,21:15:00,1,28,5,False,3,771.9,2,10
2023-01-29,KN5737,98926.0,185,176,1178,73V,07:15:00,09:20:00,1,29,6,False,-1,769.6,2,10
2023-01-29,KN5738,80856.0,185,149,1178,73V,10:55:00,13:10:00,1,29,6,False,7,770.4,4,10
2023-01-29,KN5955,115350.0,179,168,1178,73U,15:45:00,17:40:00,1,29,6,False,11,768.1,4,10
2023-01-29,KN5956,71550.0,185,141,1178,73V,19:05:00,21:15:00,1,29,6,False,7,768.9,2,10
2023-01-30,KN5737,96839.0,179,171,1178,73U,07:15:00,09:20:00,1,30,0,False,0,770.4,1,10
2023-01-30,KN5738,76490.0,179,163,1178,73U,10:55:00,13:10:00,1,30,0,False,11,770.4,2,10
2023-01-30,KN5955,117706.0,185,175,1178,73V,15:55:00,17:50:00,1,30,0,False,13,766.6,3,10
2023-01-30,KN5956,60938.0,179,143,1178,73U,19:05:00,21:15:00,1,30,0,False,8,767.3,2,10
2023-01-31,KN5955,107020.0,185,165,1178,73V,15:35:00,17:30:00,1,31,1,False,19,760.5,2,10
2023-01-31,KN5956,64010.0,185,140,1178,73V,19:05:00,21:15:00,1,31,1,False,12,761.2,3,10
2023-01-31,KN5977,91753.0,179,147,1176,73U,20:15:00,22:30:00,1,31,1,False,11,761.2,2,10
2023-02-01,KN5737,76778.0,179,168,1178,73U,07:15:00,09:20:00,2,1,2,False,4,762.8,1,10
2023-02-01,KN5978,95127.0,179,169,1180,73U,08:15:00,10:40:00,2,1,2,False,9,763.5,1,10
2023-02-01,KN5738,77970.0,179,165,1178,73U,10:55:00,13:10:00,2,1,2,False,13,765.0,4,10
2023-02-01,KN5955,110695.0,185,181,1178,73V,15:35:00,17:30:00,2,1,2,False,13,765.8,8,10
2023-02-01,KN5956,64940.0,185,154,1178,73V,19:05:00,21:15:00,2,1,2,False,8,768.9,8,10
2023-02-01,KN5977,82732.5,185,170,1176,73V,20:15:00,22:35:00,2,1,2,False,7,769.6,8,10
2023-02-02,KN5737,83120.0,185,175,1178,73V,07:15:00,09:20:00,2,2,3,False,5,772.7,5,10
2023-02-02,KN5978,78479.0,185,167,1180,73V,08:15:00,10:40:00,2,2,3,False,5,772.7,4,10
2023-02-02,KN5738,84510.0,185,157,1178,73V,10:55:00,13:10:00,2,2,3,False,5,773.4,4,10
2023-02-02,KN5955,104595.0,185,169,1178,73V,15:35:00,17:30:00,2,2,3,False,6,770.4,4,10
2023-02-02,KN5956,78600.0,185,166,1178,73V,19:05:00,21:15:00,2,2,3,False,5,771.1,5,10
2023-02-02,KN5977,76017.0,185,172,1176,73V,20:15:00,22:30:00,2,2,3,False,5,771.1,3,10
2023-02-03,KN5737,75063.5,185,175,1178,73V,07:15:00,09:20:00,2,3,4,False,4,770.4,3,10
2023-02-03,KN5978,75030.0,185,171,1180,73V,08:15:00,10:40:00,2,3,4,False,5,771.1,4,10
2023-02-03,KN5738,83540.0,185,167,1178,73V,10:55:00,13:10:00,2,3,4,False,7,771.1,2,10
2023-02-03,KN5955,101050.0,185,179,1178,73V,15:35:00,17:30:00,2,3,4,False,9,768.1,2,10
2023-02-03,KN5956,102760.0,185,166,1178,73V,19:05:00,21:15:00,2,3,4,False,6,768.9,3,10
2023-02-03,KN5977,91533.0,185,167,1176,73V,20:15:00,22:35:00,2,3,4,False,6,768.9,3,10
2023-02-04,KN5737,65643.0,185,166,1178,73V,07:15:00,09:20:00,2,4,5,False,2,769.6,1,10
2023-02-04,KN5978,101737.0,185,167,1180,73V,08:15:00,10:40:00,2,4,5,False,4,770.4,1,10
2023-02-04,KN5738,99490.0,185,176,1178,73V,10:55:00,13:10:00,2,4,5,False,8,770.4,3,10
2023-02-04,KN5955,129285.5,292,266,1178,33L,15:35:00,17:30:00,2,4,5,False,10,768.9,4,10
2023-02-04,KN5956,129365.0,292,250,1178,33L,19:05:00,21:15:00,2,4,5,False,6,769.6,3,10
2023-02-04,KN5977,57745.0,179,134,1176,73U,20:15:00,22:30:00,2,4,5,False,6,770.4,4,10
2023-02-05,KN5737,54309.0,185,154,1178,73V,07:15:00,09:20:00,2,5,6,False,6,768.9,2,7
2023-02-05,KN5978,72340.0,179,131,1180,73U,08:15:00,10:40:00,2,5,6,False,7,768.9,3,10
2023-02-05,KN5738,104177.0,185,169,1178,73V,10:55:00,13:10:00,2,5,6,False,9,768.1,6,10
2023-02-05,KN5955,96690.0,185,160,1178,73V,15:35:00,17:30:00,2,5,6,False,10,765.8,4,10
2023-02-05,KN5956,81100.0,185,134,1178,73V,19:05:00,21:15:00,2,5,6,False,9,765.8,3,10
2023-02-05,KN5977,88950.0,185,154,1176,73V,20:15:00,22:35:00,2,5,6,False,9,765.8,4,10
2023-02-06,KN5737,163984.0,185,184,1178,73V,07:15:00,09:20:00,2,6,0,False,9,763.5,4,4
2023-02-06,KN5978,175450.0,185,179,1180,73V,08:15:00,10:40:00,2,6,0,False,10,763.5,4,5
2023-02-06,KN5738,156968.0,185,180,1178,73V,10:55:00,13:10:00,2,6,0,False,11,763.5,3,6
2023-02-06,KN5955,118178.5,185,158,1178,73V,15:35:00,17:30:00,2,6,0,False,10,762.0,4,10
2023-02-06,KN5956,98749.0,185,163,1178,73V,19:05:00,21:15:00,2,6,0,False,9,762.8,3,5
2023-02-06,KN5977,101047.0,185,165,1176,73V,20:15:00,22:35:00,2,6,0,False,9,763.5,3,6
2023-02-07,KN5737,100292.0,185,182,1178,73V,07:15:00,09:20:00,2,7,1,False,8,765.8,4,10
2023-02-07,KN5978,111295.0,185,166,1180,73V,08:15:00,10:40:00,2,7,1,False,9,765.8,3,10
2023-02-07,KN5738,130210.0,185,165,1178,73V,10:55:00,13:10:00,2,7,1,False,10,767.3,3,10
2023-02-07,KN5955,114929.0,185,166,1178,73V,15:35:00,17:30:00,2,7,1,False,12,765.8,4,10
2023-02-07,KN5956,112760.0,185,164,1178,73V,19:05:00,21:15:00,2,7,1,False,10,767.3,3,10
2023-02-07,KN5977,88793.0,185,150,1176,73V,20:15:00,22:30:00,2,7,1,False,9,768.1,3,10
2023-02-08,KN5978,121560.0,185,154,1180,73V,08:15:00,10:40:00,2,8,2,False,8,770.4,3,5
2023-02-08,KN5955,129227.0,185,175,1178,73V,15:35:00,17:30:00,2,8,2,False,10,769.6,3,10
2023-02-08,KN5956,136759.0,185,167,1178,73V,19:05:00,21:15:00,2,8,2,False,9,769.6,3,10
2023-02-08,KN5977,108718.0,185,164,1176,73V,20:15:00,22:35:00,2,8,2,False,9,769.6,4,10
2023-02-09,KN5737,100523.0,185,141,1178,73V,07:15:00,09:20:00,2,9,3,False,9,767.3,3,10
2023-02-09,KN5978,125750.7,185,155,1180,73V,08:15:00,10:40:00,2,9,3,False,9,767.3,4,10
2023-02-09,KN5738,166210.0,185,179,1178,73V,10:55:00,13:10:00,2,9,3,False,10,765.8,5,10
2023-02-09,KN5955,158540.0,185,174,1178,73V,15:35:00,17:30:00,2,9,3,False,9,762.8,3,6
2023-02-09,KN5956,129240.0,185,150,1178,73V,19:05:00,21:15:00,2,9,3,False,9,762.8,2,8
2023-02-09,KN5977,89189.5,185,127,1176,73V,20:15:00,22:30:00,2,9,3,False,8,763.5,4,8
2023-02-10,KN5737,132880.5,292,223,1178,33L,07:15:00,09:20:00,2,10,4,False,7,766.6,4,5
2023-02-10,KN5978,96400.58,185,134,1180,73V,09:15:00,11:40:00,2,10,4,False,7,768.1,4,6
2023-02-10,KN5738,211889.0,292,255,1178,33L,10:55:00,13:10:00,2,10,4,False,7,768.1,4,7
2023-02-10,KN5955,197889.0,185,176,1178,73V,15:35:00,17:30:00,2,10,4,False,9,766.6,4,10
2023-02-10,KN5956,197770.0,185,182,1178,73V,19:05:00,21:15:00,2,10,4,False,8,767.3,3,10
2023-02-10,KN5977,164470.0,185,183,1176,73V,20:15:00,22:35:00,2,10,4,False,8,767.3,4,10
2023-02-11,KN5737,168821.0,292,269,1178,33L,07:15:00,09:20:00,2,11,5,False,8,764.3,4,10
2023-02-11,KN5978,106740.0,185,145,1180,73V,08:15:00,10:40:00,2,11,5,False,8,764.3,5,10
2023-02-11,KN5738,211410.0,292,259,1178,33L,10:55:00,13:10:00,2,11,5,False,9,765.0,3,8
