航班日期,航线金额,月份,日期,星期几,季节,节假日
2023-01-01,168320.0,1,1,6,1,True
2023-01-02,222618.0,1,2,0,1,True
2023-01-03,304062.0,1,3,1,1,False
2023-01-04,377547.0,1,4,2,1,False
2023-01-05,297465.0,1,5,3,1,False
2023-01-06,303005.5,1,6,4,1,False
2023-01-07,288221.0,1,7,5,1,False
2023-01-08,328543.0,1,8,6,1,False
2023-01-09,375304.0,1,9,0,1,False
2023-01-10,362887.0,1,10,1,1,False
2023-01-11,357772.5,1,11,2,1,False
2023-01-12,431589.0,1,12,3,1,False
2023-01-13,494540.0,1,13,4,1,False
2023-01-14,335227.0,1,14,5,1,False
2023-01-15,456654.0,1,15,6,1,False
2023-01-16,440310.0,1,16,0,1,False
2023-01-17,260349.0,1,17,1,1,False
2023-01-18,559139.0,1,18,2,1,False
2023-01-19,323501.2,1,19,3,1,False
2023-01-20,454527.0,1,20,4,1,False
2023-01-21,148099.0,1,21,5,1,False
2023-01-22,253113.0,1,22,6,1,True
2023-01-23,191355.0,1,23,0,1,True
2023-01-24,169125.0,1,24,1,1,True
2023-01-25,272704.0,1,25,2,1,True
2023-01-26,259483.0,1,26,3,1,True
2023-01-27,598771.0,1,27,4,1,True
2023-01-28,280759.0,1,28,5,1,False
2023-01-29,367982.0,1,29,6,1,False
2023-01-30,357371.0,1,30,0,1,False
2023-01-31,265813.0,1,31,1,1,False
2023-02-01,508242.5,2,1,2,1,False
2023-02-02,505321.0,2,2,3,1,False
2023-02-03,528976.5,2,3,4,1,False
2023-02-04,583265.5,2,4,5,1,False
2023-02-05,497566.0,2,5,6,1,False
2023-02-06,814376.5,2,6,0,1,False
2023-02-07,658279.0,2,7,1,1,False
2023-02-08,499214.0,2,8,2,1,False
2023-02-09,769453.2,2,9,3,1,False
2023-02-10,1001299.08,2,10,4,1,False
2023-02-11,794217.5,2,11,5,1,False
2023-02-12,835610.41,2,12,6,1,False
2023-02-13,840242.5,2,13,0,1,False
2023-02-14,743494.5,2,14,1,1,False
2023-02-15,927966.5,2,15,2,1,False
2023-02-16,796660.5,2,16,3,1,False
2023-02-17,961799.5,2,17,4,1,False
2023-02-18,765424.5,2,18,5,1,False
2023-02-19,770186.65,2,19,6,1,False
2023-02-20,778941.0,2,20,0,1,False
2023-02-21,651726.5,2,21,1,1,False
2023-02-22,842161.8,2,22,2,1,False
2023-02-23,813549.5,2,23,3,1,False
2023-02-24,970835.5,2,24,4,1,False
2023-02-25,721968.1,2,25,5,1,False
2023-02-26,688658.46,2,26,6,1,False
2023-02-27,745007.65,2,27,0,1,False
2023-02-28,530352.0,2,28,1,1,False
2023-03-01,848282.5,3,1,2,1,False
2023-03-02,826814.0,3,2,3,1,False
2023-03-03,998159.58,3,3,4,1,False
2023-03-04,654577.5,3,4,5,1,False
2023-03-05,629626.23,3,5,6,1,False
2023-03-06,866008.0,3,6,0,1,False
2023-03-07,689832.0,3,7,1,1,False
2023-03-08,916357.95,3,8,2,1,False
2023-03-09,845927.25,3,9,3,1,False
2023-03-10,965023.95,3,10,4,1,False
2023-03-11,755436.51,3,11,5,1,False
2023-03-12,891284.0,3,12,6,1,False
2023-03-13,963370.67,3,13,0,1,False
2023-03-14,912661.0,3,14,1,1,False
2023-03-15,1025412.4,3,15,2,1,False
2023-03-16,1016912.5,3,16,3,1,False
2023-03-17,1252845.5,3,17,4,1,False
2023-03-18,890978.4,3,18,5,1,False
2023-03-19,954786.0,3,19,6,1,False
2023-03-20,1008696.76,3,20,0,1,False
2023-03-21,857568.5,3,21,1,1,False
2023-03-22,915791.0,3,22,2,1,False
2023-03-23,987067.0,3,23,3,1,False
2023-03-24,1216899.19,3,24,4,1,False
2023-03-25,856275.97,3,25,5,1,False
2023-03-26,748217.0,3,26,6,1,False
2023-03-27,960822.51,3,27,0,1,False
2023-03-28,933061.0,3,28,1,1,False
2023-03-29,1015982.05,3,29,2,1,False
2023-03-30,848891.0,3,30,3,1,False
2023-03-31,1003347.57,3,31,4,1,False
2023-04-01,796777.5,4,1,5,2,False
2023-04-02,804999.84,4,2,6,2,False
2023-04-03,762737.92,4,3,0,2,False
2023-04-04,709784.5,4,4,1,2,False
2023-04-05,934582.52,4,5,2,2,True
2023-04-06,1015240.0,4,6,3,2,False
2023-04-07,1103251.0,4,7,4,2,False
