航班日期,航线金额
2023-01-01,168320.0
2023-01-02,222618.0
2023-01-03,304062.0
2023-01-04,377547.0
2023-01-05,297465.0
2023-01-06,303005.5
2023-01-07,288221.0
2023-01-08,328543.0
2023-01-09,375304.0
2023-01-10,362887.0
2023-01-11,357772.5
2023-01-12,431589.0
2023-01-13,494540.0
2023-01-14,335227.0
2023-01-15,456654.0
2023-01-16,440310.0
2023-01-17,260349.0
2023-01-18,559139.0
2023-01-19,323501.2
2023-01-20,454527.0
2023-01-21,148099.0
2023-01-22,253113.0
2023-01-23,191355.0
2023-01-24,169125.0
2023-01-25,272704.0
2023-01-26,259483.0
2023-01-27,598771.0
2023-01-28,280759.0
2023-01-29,367982.0
2023-01-30,357371.0
2023-01-31,265813.0
2023-02-01,508242.5
2023-02-02,505321.0
2023-02-03,528976.5
2023-02-04,583265.5
2023-02-05,497566.0
2023-02-06,814376.5
2023-02-07,658279.0
2023-02-08,499214.0
2023-02-09,769453.2
2023-02-10,1001299.08
2023-02-11,794217.5
2023-02-12,835610.41
2023-02-13,840242.5
2023-02-14,743494.5
2023-02-15,927966.5
2023-02-16,796660.5
2023-02-17,961799.5
2023-02-18,765424.5
2023-02-19,770186.65
2023-02-20,778941.0
2023-02-21,651726.5
2023-02-22,842161.8
2023-02-23,813549.5
2023-02-24,970835.5
2023-02-25,721968.1
2023-02-26,688658.46
2023-02-27,745007.65
2023-02-28,530352.0
2023-03-01,848282.5
2023-03-02,826814.0
2023-03-03,998159.58
2023-03-04,654577.5
2023-03-05,629626.23
2023-03-06,866008.0
2023-03-07,689832.0
2023-03-08,916357.95
2023-03-09,845927.25
2023-03-10,965023.95
2023-03-11,755436.51
2023-03-12,891284.0
2023-03-13,963370.67
2023-03-14,912661.0
2023-03-15,1025412.4
2023-03-16,1016912.5
2023-03-17,1252845.5
2023-03-18,890978.4
2023-03-19,954786.0
2023-03-20,1008696.76
2023-03-21,857568.5
2023-03-22,915791.0
2023-03-23,987067.0
2023-03-24,1216899.19
2023-03-25,856275.97
2023-03-26,748217.0
2023-03-27,960822.51
2023-03-28,933061.0
2023-03-29,1015982.05
2023-03-30,848891.0
2023-03-31,1003347.5700000001
2023-04-01,796777.5
2023-04-02,804999.84
2023-04-03,762737.92
2023-04-04,709784.5
2023-04-05,934582.52
2023-04-06,1015240.0
2023-04-07,1103251.0
2023-04-08,992408.7
2023-04-09,1232235.0
