航班日期,航班号,实际销售额（sale_volume）
2023-01-01,KN5955,63372.0
2023-01-01,KN5956,81770.0
2023-01-02,KN5955,72564.0
2023-01-02,KN5956,120236.0
2023-01-03,KN5737,36865.0
2023-01-03,KN5738,98832.0
2023-01-03,KN5955,64125.0
2023-01-03,KN5956,91728.0
2023-01-04,KN5737,45720.0
2023-01-04,KN5738,81660.0
2023-01-04,KN5955,73477.0
2023-01-04,KN5956,94440.0
2023-01-04,KN5977,59750.0
2023-01-05,KN5737,52285.0
2023-01-05,KN5738,94170.0
2023-01-05,KN5955,56580.0
2023-01-05,KN5956,82450.0
2023-01-06,KN5737,33412.5
2023-01-06,KN5738,78225.0
2023-01-06,KN5955,62523.0
2023-01-06,KN5956,93650.0
2023-01-07,KN5737,48215.0
2023-01-07,KN5738,98370.0
2023-01-07,KN5955,57770.0
2023-01-07,KN5956,64490.0
2023-01-08,KN5737,41470.0
2023-01-08,KN5738,111129.0
2023-01-08,KN5955,82800.0
2023-01-08,KN5956,78714.0
2023-01-09,KN5737,47380.0
2023-01-09,KN5738,75470.0
2023-01-09,KN5955,72530.0
2023-01-09,KN5956,71462.0
2023-01-09,KN5977,77878.0
2023-01-10,KN5737,48870.0
2023-01-10,KN5738,109120.0
2023-01-10,KN5955,97165.0
2023-01-10,KN5956,93680.0
2023-01-11,KN5737,53275.0
2023-01-11,KN5738,109580.0
2023-01-11,KN5955,103160.0
2023-01-11,KN5956,73867.5
2023-01-12,KN5737,49012.0
2023-01-12,KN5738,103720.0
2023-01-12,KN5955,83435.0
2023-01-12,KN5956,92910.0
2023-01-12,KN5977,49330.0
2023-01-13,KN5737,50515.0
2023-01-13,KN5738,87550.0
2023-01-13,KN5955,75720.0
2023-01-13,KN5956,95730.0
2023-01-13,KN5977,54840.0
2023-01-13,KN5978,76946.0
2023-01-14,KN5955,68805.0
2023-01-14,KN5956,82485.0
2023-01-14,KN5977,49830.0
2023-01-14,KN5978,102960.0
2023-01-15,KN5737,45800.0
2023-01-15,KN5738,114740.0
2023-01-15,KN5955,63315.0
2023-01-15,KN5956,92110.0
2023-01-15,KN5977,43510.0
2023-01-15,KN5978,64480.0
2023-01-16,KN5737,47795.0
2023-01-16,KN5738,92080.0
2023-01-16,KN5955,54475.0
2023-01-16,KN5956,81950.0
2023-01-16,KN5977,43800.0
2023-01-16,KN5978,85630.0
2023-01-17,KN5955,66220.0
2023-01-17,KN5956,89799.0
2023-01-17,KN5978,77600.0
2023-01-18,KN5737,50210.0
2023-01-18,KN5738,114690.0
2023-01-18,KN5955,65290.0
2023-01-18,KN5956,92229.0
2023-01-18,KN5977,57180.0
2023-01-18,KN5978,127240.0
2023-01-19,KN5955,62170.0
2023-01-19,KN5956,81890.0
2023-01-19,KN5977,52510.0
2023-01-19,KN5978,98183.2
2023-01-20,KN5737,39929.0
2023-01-20,KN5738,90890.0
2023-01-20,KN5955,63888.0
2023-01-20,KN5956,82016.0
2023-01-20,KN5977,53928.0
2023-01-20,KN5978,76630.0
2023-01-21,KN5977,38962.0
2023-01-21,KN5978,69632.0
2023-01-22,KN5955,110038.0
2023-01-22,KN5978,84250.0
2023-01-23,KN5955,71479.0
2023-01-23,KN5956,54586.0
2023-01-24,KN5955,77260.0
2023-01-24,KN5956,51520.0
2023-01-25,KN5738,111308.0
2023-01-25,KN5955,70590.0
2023-01-25,KN5956,51810.0
2023-01-26,KN5955,78730.0
2023-01-26,KN5956,64120.0
2023-01-26,KN5977,82350.0
2023-01-27,KN5737,81110.0
2023-01-27,KN5738,88040.0
2023-01-27,KN5955,126028.0
2023-01-27,KN5956,75740.0
2023-01-27,KN5977,95160.0
2023-01-27,KN5978,68568.0
2023-01-28,KN5955,122930.0
2023-01-28,KN5956,62920.0
2023-01-28,KN5978,82153.0
2023-01-29,KN5737,91166.0
2023-01-29,KN5738,78006.0
2023-01-29,KN5955,113970.0
2023-01-29,KN5956,70530.0
2023-01-30,KN5737,86139.0
2023-01-30,KN5738,73400.0
2023-01-30,KN5955,110300.0
2023-01-30,KN5956,56888.0
2023-01-31,KN5955,103150.0
2023-01-31,KN5956,59642.0
2023-01-31,KN5977,69223.0
2023-02-01,KN5737,71910.0
2023-02-01,KN5738,77970.0
2023-02-01,KN5955,105735.0
2023-02-01,KN5956,62790.0
2023-02-01,KN5977,80682.5
2023-02-01,KN5978,95127.0
2023-02-02,KN5737,74890.0
2023-02-02,KN5738,79830.0
2023-02-02,KN5955,99440.0
2023-02-02,KN5956,75490.0
2023-02-02,KN5977,71417.0
2023-02-02,KN5978,78479.0
2023-02-03,KN5737,70063.5
2023-02-03,KN5738,80680.0
2023-02-03,KN5955,101050.0
2023-02-03,KN5956,101290.0
2023-02-03,KN5977,86093.0
2023-02-03,KN5978,67730.0
2023-02-04,KN5737,62993.0
2023-02-04,KN5738,96870.0
2023-02-04,KN5955,126105.5
2023-02-04,KN5956,121625.0
2023-02-04,KN5977,53295.0
2023-02-04,KN5978,101737.0
2023-02-05,KN5737,48489.0
2023-02-05,KN5738,101237.0
2023-02-05,KN5955,93110.0
2023-02-05,KN5956,79260.0
2023-02-05,KN5977,86550.0
2023-02-05,KN5978,69920.0
2023-02-06,KN5737,161304.0
2023-02-06,KN5738,155698.0
2023-02-06,KN5955,116708.5
2023-02-06,KN5956,97769.0
2023-02-06,KN5977,94997.0
2023-02-06,KN5978,171710.0
2023-02-07,KN5737,96142.0
2023-02-07,KN5738,123910.0
2023-02-07,KN5955,113829.0
2023-02-07,KN5956,108490.0
2023-02-07,KN5977,83553.0
2023-02-07,KN5978,106265.0
2023-02-08,KN5955,126887.0
2023-02-08,KN5956,127419.0
2023-02-08,KN5977,102178.0
2023-02-08,KN5978,119890.0
2023-02-09,KN5737,91013.0
2023-02-09,KN5738,162770.0
2023-02-09,KN5955,157480.0
2023-02-09,KN5956,121950.0
2023-02-09,KN5977,81369.5
2023-02-09,KN5978,125750.7
2023-02-10,KN5737,124670.5
2023-02-10,KN5738,207159.0
2023-02-10,KN5955,191839.0
2023-02-10,KN5956,191810.0
2023-02-10,KN5977,161080.0
2023-02-10,KN5978,96400.58
2023-02-11,KN5737,161561.0
2023-02-11,KN5738,209710.0
2023-02-11,KN5955,133584.0
2023-02-11,KN5956,93541.0
2023-02-11,KN5977,70631.5
2023-02-11,KN5978,101630.0
2023-02-12,KN5737,118160.5
2023-02-12,KN5738,200264.0
2023-02-12,KN5955,161530.0
2023-02-12,KN5956,117025.0
2023-02-12,KN5977,137490.0
2023-02-12,KN5978,87950.91
2023-02-13,KN5737,159272.0
2023-02-13,KN5738,215824.0
2023-02-13,KN5955,137516.0
2023-02-13,KN5956,81350.0
2023-02-13,KN5977,100796.5
2023-02-13,KN5978,123124.0
2023-02-14,KN5737,133039.0
2023-02-14,KN5738,169025.0
2023-02-14,KN5955,144990.0
2023-02-14,KN5956,115813.0
2023-02-14,KN5977,77125.0
2023-02-14,KN5978,87852.5
2023-02-15,KN5737,173844.5
2023-02-15,KN5738,239879.0
2023-02-15,KN5955,136544.0
2023-02-15,KN5956,122025.0
2023-02-15,KN5977,102246.0
2023-02-15,KN5978,127890.0
2023-02-16,KN5737,125279.5
2023-02-16,KN5738,197715.0
2023-02-16,KN5955,138334.0
2023-02-16,KN5956,128685.0
2023-02-16,KN5977,99313.0
2023-02-16,KN5978,80330.0
2023-02-17,KN5737,148129.5
2023-02-17,KN5738,181233.0
2023-02-17,KN5955,205270.0
2023-02-17,KN5956,160735.0
2023-02-17,KN5977,148821.0
2023-02-17,KN5978,90041.0
2023-02-18,KN5737,154701.5
2023-02-18,KN5738,205371.0
2023-02-18,KN5955,108311.0
2023-02-18,KN5956,86306.0
2023-02-18,KN5977,78775.0
2023-02-18,KN5978,97420.0
2023-02-19,KN5737,95357.0
2023-02-19,KN5738,200319.0
2023-02-19,KN5955,137640.0
2023-02-19,KN5956,121895.0
2023-02-19,KN5977,91805.0
2023-02-19,KN5978,91390.65
2023-02-20,KN5737,147262.0
2023-02-20,KN5738,220838.0
2023-02-20,KN5955,203487.0
2023-02-20,KN5977,66071.0
2023-02-20,KN5978,120706.0
2023-02-21,KN5737,101150.0
2023-02-21,KN5738,175109.0
2023-02-21,KN5955,119277.5
2023-02-21,KN5956,83810.0
2023-02-21,KN5977,61907.0
2023-02-21,KN5978,95733.0
2023-02-22,KN5737,121682.0
2023-02-22,KN5738,244295.0
2023-02-22,KN5955,148582.0
2023-02-22,KN5956,100693.0
2023-02-22,KN5977,86968.0
2023-02-22,KN5978,109098.8
2023-02-23,KN5737,127414.5
2023-02-23,KN5738,171410.0
2023-02-23,KN5955,174668.0
2023-02-23,KN5956,125895.0
2023-02-23,KN5977,96384.0
2023-02-23,KN5978,89440.0
2023-02-24,KN5737,105127.0
2023-02-24,KN5738,199390.0
2023-02-24,KN5955,194690.0
2023-02-24,KN5956,184450.0
2023-02-24,KN5977,142706.5
2023-02-24,KN5978,101585.0
2023-02-25,KN5737,120906.5
2023-02-25,KN5738,201754.0
2023-02-25,KN5955,112828.0
2023-02-25,KN5956,91246.0
2023-02-25,KN5977,77377.0
2023-02-25,KN5978,93916.6
2023-02-26,KN5737,63043.0
2023-02-26,KN5738,202428.0
2023-02-26,KN5955,144930.0
2023-02-26,KN5956,103240.0
2023-02-26,KN5977,86480.0
2023-02-26,KN5978,66887.46
2023-02-27,KN5737,124187.0
2023-02-27,KN5738,213399.0
2023-02-27,KN5955,96220.0
2023-02-27,KN5956,75953.0
2023-02-27,KN5977,126555.0
2023-02-27,KN5978,90305.65
2023-02-28,KN5737,97945.0
2023-02-28,KN5738,167829.0
2023-02-28,KN5955,131007.0
2023-02-28,KN5956,107394.0
2023-03-01,KN5737,141195.0
2023-03-01,KN5738,160532.0
2023-03-01,KN5955,145058.0
2023-03-01,KN5956,120530.0
2023-03-01,KN5977,82814.0
2023-03-01,KN5978,181203.5
2023-03-02,KN5737,158240.0
2023-03-02,KN5738,169495.0
2023-03-02,KN5955,212474.0
2023-03-02,KN5956,169925.0
2023-03-02,KN5978,90840.0
2023-03-03,KN5737,115902.0
2023-03-03,KN5738,186065.0
2023-03-03,KN5955,273228.0
2023-03-03,KN5956,225315.0
2023-03-03,KN5977,111599.0
2023-03-03,KN5978,66243.58
2023-03-04,KN5737,114560.0
2023-03-04,KN5738,179300.0
2023-03-04,KN5955,106513.0
2023-03-04,KN5956,89071.0
2023-03-04,KN5977,60030.0
2023-03-04,KN5978,69750.0
2023-03-05,KN5737,95752.0
2023-03-05,KN5738,156304.0
2023-03-05,KN5955,92735.0
2023-03-05,KN5956,110170.0
2023-03-05,KN5977,91450.0
2023-03-05,KN5978,67275.23
2023-03-06,KN5737,125647.0
2023-03-06,KN5738,182540.0
