航班日期,实际销售额（sale_volume）
2023/1/1,81770
2023/1/1,63372
2023/1/2,72564
2023/1/2,120236
2023/1/3,64125
2023/1/3,36865
2023/1/3,98832
2023/1/3,91728
2023/1/4,73477
2023/1/4,94440
2023/1/4,45720
2023/1/4,59750
2023/1/4,81660
2023/1/5,56580
2023/1/5,82450
2023/1/5,52285
2023/1/5,94170
2023/1/6,93650
2023/1/6,62523
2023/1/6,78225
2023/1/6,33412.5
2023/1/7,64490
2023/1/7,98370
2023/1/7,48215
2023/1/7,57770
2023/1/8,111129
2023/1/8,41470
2023/1/8,78714
2023/1/8,82800
2023/1/9,75470
2023/1/9,71462
2023/1/9,77878
2023/1/9,72530
2023/1/9,47380
2023/1/10,93680
2023/1/10,97165
2023/1/10,48870
2023/1/10,109120
2023/1/11,103160
2023/1/11,109580
2023/1/11,53275
2023/1/11,73867.5
2023/1/12,103720
2023/1/12,49012
2023/1/12,83435
2023/1/12,49330
2023/1/12,92910
2023/1/13,54840
2023/1/13,95730
2023/1/13,87550
2023/1/13,50515
2023/1/13,75720
2023/1/13,76946
2023/1/14,68805
2023/1/14,49830
2023/1/14,102960
2023/1/14,82485
2023/1/15,114740
2023/1/15,64480
2023/1/15,43510
2023/1/15,92110
2023/1/15,63315
2023/1/15,45800
2023/1/16,47795
2023/1/16,85630
2023/1/16,92080
2023/1/16,54475
2023/1/16,81950
2023/1/16,43800
2023/1/17,89799
2023/1/17,66220
2023/1/17,77600
2023/1/18,114690
2023/1/18,50210
2023/1/18,127240
2023/1/18,65290
2023/1/18,92229
2023/1/18,57180
2023/1/19,98183.2
2023/1/19,81890
2023/1/19,52510
2023/1/19,62170
2023/1/20,63888
2023/1/20,39929
2023/1/20,53928
2023/1/20,90890
2023/1/20,82016
2023/1/20,76630
2023/1/21,38962
2023/1/21,69632
2023/1/22,84250
2023/1/22,110038
2023/1/23,54586
2023/1/23,71479
2023/1/24,51520
2023/1/24,77260
2023/1/25,111308
2023/1/25,51810
2023/1/25,70590
2023/1/26,82350
2023/1/26,64120
2023/1/26,78730
2023/1/27,126028
2023/1/27,68568
2023/1/27,95160
2023/1/27,75740
2023/1/27,88040
2023/1/27,81110
2023/1/28,122930
2023/1/28,62920
2023/1/28,82153
2023/1/29,91166
2023/1/29,70530
2023/1/29,78006
2023/1/29,113970
2023/1/30,73400
2023/1/30,110300
2023/1/30,56888
2023/1/30,86139
2023/1/31,69223
2023/1/31,59642
2023/1/31,103150
2023/2/1,95127
2023/2/1,71910
2023/2/1,80682.5
2023/2/1,77970
2023/2/1,62790
2023/2/1,105735
2023/2/2,99440
2023/2/2,71417
2023/2/2,74890
2023/2/2,75490
2023/2/2,78479
2023/2/2,79830
2023/2/3,80680
2023/2/3,70063.5
2023/2/3,86093
2023/2/3,67730
2023/2/3,101050
2023/2/3,101290
2023/2/4,62993
2023/2/4,96870
2023/2/4,101737
2023/2/4,126105.5
2023/2/4,53295
2023/2/4,121625
2023/2/5,69920
2023/2/5,48489
2023/2/5,79260
2023/2/5,86550
2023/2/5,93110
2023/2/5,101237
2023/2/6,155698
2023/2/6,161304
2023/2/6,171710
2023/2/6,116708.5
2023/2/6,94997
2023/2/6,97769
2023/2/7,96142
2023/2/7,106265
2023/2/7,113829
2023/2/7,83553
2023/2/7,108490
2023/2/7,123910
2023/2/8,127419
2023/2/8,126887
2023/2/8,102178
2023/2/8,119890
2023/2/9,162770
2023/2/9,81369.5
2023/2/9,91013
2023/2/9,157480
2023/2/9,125750.7
2023/2/9,121950
2023/2/10,161080
2023/2/10,191810
2023/2/10,207159
2023/2/10,124670.5
2023/2/10,191839
2023/2/10,96400.58
2023/2/11,133584
2023/2/11,70631.5
2023/2/11,101630
2023/2/11,161561
2023/2/11,209710
2023/2/11,93541
2023/2/12,200264
2023/2/12,87950.91
2023/2/12,137490
2023/2/12,117025
2023/2/12,118160.5
2023/2/12,161530
2023/2/13,159272
2023/2/13,137516
2023/2/13,100796.5
2023/2/13,123124
2023/2/13,215824
2023/2/13,81350
2023/2/14,87852.5
2023/2/14,144990
2023/2/14,133039
2023/2/14,77125
2023/2/14,169025
2023/2/14,115813
2023/2/15,136544
2023/2/15,173844.5
2023/2/15,127890
2023/2/15,122025
2023/2/15,102246
2023/2/15,239879
2023/2/16,99313
2023/2/16,125279.5
2023/2/16,128685
2023/2/16,80330
2023/2/16,138334
2023/2/16,197715
2023/2/17,181233
2023/2/17,205270
2023/2/17,90041
2023/2/17,148821
2023/2/17,160735
2023/2/17,148129.5
2023/2/18,86306
2023/2/18,108311
2023/2/18,78775
2023/2/18,154701.5
2023/2/18,205371
2023/2/18,97420
2023/2/19,137640
2023/2/19,91805
2023/2/19,200319
2023/2/19,91390.65
2023/2/19,95357
2023/2/19,121895
2023/2/20,220838
2023/2/20,147262
2023/2/20,203487
2023/2/20,66071
2023/2/20,120706
2023/2/21,95733
2023/2/21,61907
2023/2/21,101150
2023/2/21,175109
2023/2/21,83810
2023/2/21,119277.5
2023/2/22,148582
2023/2/22,109098.8
2023/2/22,244295
2023/2/22,86968
2023/2/22,121682
2023/2/22,100693
2023/2/23,127414.5
2023/2/23,89440
2023/2/23,96384
2023/2/23,125895
2023/2/23,174668
2023/2/23,171410
2023/2/24,105127
2023/2/24,101585
2023/2/24,142706.5
2023/2/24,199390
2023/2/24,194690
2023/2/24,184450
2023/2/25,201754
2023/2/25,112828
2023/2/25,93916.6
2023/2/25,91246
2023/2/25,77377
2023/2/25,120906.5
2023/2/26,66887.46
2023/2/26,86480
2023/2/26,63043
2023/2/26,103240
2023/2/26,202428
2023/2/26,144930
2023/2/27,90305.65
2023/2/27,126555
2023/2/27,75953
2023/2/27,124187
2023/2/27,96220
2023/2/27,213399
2023/2/28,167829
2023/2/28,97945
2023/2/28,107394
2023/2/28,131007
2023/3/1,82814
2023/3/1,120530
2023/3/1,181203.5
2023/3/1,141195
2023/3/1,160532
2023/3/1,145058
2023/3/2,212474
2023/3/2,90840
2023/3/2,158240
2023/3/2,169925
2023/3/2,169495
2023/3/3,273228
2023/3/3,111599
2023/3/3,115902
2023/3/3,186065
2023/3/3,225315
2023/3/3,66243.58
2023/3/4,114560
2023/3/4,106513
2023/3/4,60030
2023/3/4,179300
2023/3/4,69750
2023/3/4,89071
2023/3/5,156304
2023/3/5,91450
2023/3/5,67275.23
2023/3/5,95752
2023/3/5,110170
2023/3/5,92735
2023/3/6,93904
2023/3/6,85930
2023/3/6,125647
2023/3/6,182540
2023/3/6,161137
2023/3/6,177080
2023/3/7,71295
2023/3/7,89010
2023/3/7,172545
2023/3/7,135005
2023/3/7,120953
2023/3/7,78399
2023/3/8,98185
2023/3/8,123252.95
2023/3/8,175260
2023/3/8,191445
2023/3/8,81003
2023/3/8,224887
2023/3/9,90265
2023/3/9,91915
2023/3/9,215810
2023/3/9,127230
2023/3/9,189726
2023/3/9,89451.25
2023/3/10,89688.95
2023/3/10,213350
2023/3/10,234880
2023/3/10,186555
2023/3/10,101890
2023/3/10,103165
2023/3/11,184525
2023/3/11,151640
2023/3/11,121153
2023/3/11,89853.51
2023/3/11,126280
2023/3/11,62825
2023/3/12,203400
2023/3/12,229130
2023/3/12,96300
2023/3/12,83843
2023/3/12,186275
2023/3/12,66416
2023/3/13,82565
2023/3/13,116106.67
2023/3/13,167609
2023/3/13,226430
2023/3/13,166945
2023/3/13,183355
2023/3/14,104516
2023/3/14,90385
2023/3/14,182825
2023/3/14,167143
2023/3/14,215087
2023/3/14,133605
2023/3/15,238543
2023/3/15,127353.4
2023/3/15,219030
2023/3/15,140860
2023/3/15,183410
